Date,Opponent,Opponent Differential,Team,Team Differential,at_home,at_opp,opp_avg_Score,opp_avg_ScoreAllowed,opp_losses,opp_wins,team_avg_Score,team_avg_ScoreAllowed,team_losses,team_wins,team_won
11/11/2016,Hartford,-10.28,Central Connecticut State,-9.83,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,UC-Davis,1.56,Tennessee State,3.4,0,0,0,0,0,0,0,0,0,0,1
11/11/2016,Newberry,0.0,Charlotte,-3.73,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Indiana-Kokomo,0.0,Central Michigan,0.59,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Manhattan,-7.06,Bucknell,8.74,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Illinois-Springfield,0.0,Bradley,-5.15,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,South Dakota State,0.18,University of California,5.12,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Cal Tech,0.0,Cal State Fullerton,2.42,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Pomona-Pitzer,0.0,Cal State Northridge,-3.3,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Maryland,6.34,American,-6.8,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Vanderbilt,3.12,Marquette,7.52,0,0,0,0,0,0,0,0,0,0,1
11/11/2016,Massachusetts,-0.03,Massachusetts-Lowell,-2.84,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Brewton-Parker,0.0,Mercer,2.59,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Hood,0.0,Maryland-Baltimore County,4.27,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Vanguard,0.0,Loyola Marymount,-0.4,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,John Jay,0.0,Long Island University,1.88,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Centenary (LA),0.0,Louisiana-Monroe,-3.06,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Sewanee,0.0,Lipscomb,7.33,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Cal State Los Angeles,0.0,Long Beach State,-3.44,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Loyola (IL),6.59,Alcorn State,1.44,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Louisville,11.69,Evansville,0.82,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Tennessee-Martin,2.0,Mississippi,1.67,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Minnesota,6.18,Louisiana-Lafayette,5.64,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Missouri State,3.82,Alabama A&M,-15.97,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Norfolk State,-1.42,Mississippi State,1.22,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Milwaukee Engineering,0.0,Milwaukee,-4.2,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Muskingum,0.0,Miami (OH),-4.22,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Michigan,9.26,Howard,-7.94,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Western Carolina,-11.88,Miami (FL),5.69,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Arizona,10.82,Michigan State,3.36,0,0,0,0,0,0,0,0,0,0,0
11/11/2016,Milligan,0.0,Middle Tennessee,11.71,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Cairn,0.0,Liberty,3.31,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Gonzaga,23.42,Utah Valley,3.58,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Rider,-0.06,Hampton,-1.8,1,0,0,0,0,0,0,0,0,0,0
11/11/2016,Georgia Tech,0.22,Tennessee Tech,-0.72,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Hawaii,-0.2,Southern Illinois-Edwardsville,-7.93,0,1,0,0,0,0,0,0,0,0,1
11/11/2016,Hofstra,0.59,Coppin State,-12.56,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Florida Memorial,0.0,Florida International,-3.35,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Texas-San Antonio,-3.42,Fresno State,3.69,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Texas State,4.15,Florida Atlantic,-3.77,0,0,0,0,0,0,0,0,0,0,0
11/11/2016,George Washington,0.42,Maryland-Eastern Shore,-4.68,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Thomas University,0.0,Georgia State,4.56,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Indiana,7.03,Kansas,10.34,0,0,0,0,0,0,0,0,0,0,0
